10,1,0,17
20,2,0,24
45,5,0,23
1780,257,0,4
2129,301,0,20
2091,303,0,30
2183,306,0,1
2215,309,0,99
2070,0,1,1
2130,301,1,20
2173,305,1,90
2209,308,1,99
2216,309,1,99
2071,0,2,1
35,4,2,14
2131,301,2,20
2174,305,2,90
2217,309,2,99
2072,0,3,1
11,1,3,27
55,6,3,23
669,96,3,16
1025,151,3,7
1531,218,3,21
2132,301,3,20
2175,305,3,90
2218,309,3,99
2073,0,4,1
72,9,4,12
112,13,4,26
632,91,4,7
1306,189,4,14
2133,301,4,20
2176,305,4,90
2219,309,4,99
0,0,5,8
67,8,5,8
1731,250,5,1
2141,302,5,20
2177,305,5,90
2220,309,5,99
2074,0,6,1
78,10,6,25
93,11,6,18
2142,302,6,20
2178,305,6,90
2075,0,7,1
36,4,7,23
83,10,7,21
2143,302,7,20
104,13,8,2
139,17,8,18
1155,169,8,12
1170,171,8,9
2144,302,8,20
65,7,9,20
84,11,9,12
747,108,9,6
1290,187,9,1
2032,294,9,19
2145,302,9,20
2076,0,10,40
2146,302,10,20
94,12,11,10
161,21,11,25
2147,302,11,20
31,3,12,28
59,6,12,14
2148,302,12,20
1961,284,13,1
2066,299,13,23
2149,302,13,20
73,9,14,19
1145,168,14,27
2150,304,14,20
74,9,15,14
145,18,15,26
1288,187,15,30
2151,304,15,20
95,12,16,28
705,102,16,16
748,108,16,5
2152,304,16,20
1231,180,17,18
2153,304,17,20
28,2,18,11
633,91,18,14
1361,196,18,26
2154,304,18,20
75,9,19,12
156,20,19,25
209,27,19,12
253,35,19,19
718,104,19,26
1255,183,19,7
2155,304,19,20
891,131,20,2
2156,304,20,20
61,7,21,22
724,105,21,29
1376,198,21,13
1417,203,21,4
1897,274,21,16
8,0,22,5
157,20,22,2
308,43,22,1
2077,0,23,40
85,11,23,30
326,46,23,14
604,87,23,7
2090,303,23,90
58,6,24,8
71,8,24,21
124,15,24,15
204,27,24,14
1268,185,24,3
56,6,25,27
114,14,25,28
134,16,25,16
347,49,25,6
1425,204,25,27
1901,274,25,26
167,22,26,22
175,23,26,1
613,88,26,12
778,113,26,17
1458,208,26,15
63,7,27,3
565,83,27,29
965,142,27,6
140,17,28,13
226,30,28,1
188,25,29,28
242,33,29,3
248,34,29,21
963,142,29,21
1378,198,29,24
1733,250,29,27
107,13,30,28
119,14,30,23
179,23,30,1
237,32,30,3
362,52,30,4
983,145,30,27
1146,168,30,22
1223,179,30,30
151,19,31,6
267,36,31,1
1230,180,31,2
123,14,32,29
194,25,32,26
503,74,32,16
878,129,32,14
163,21,33,9
221,29,33,4
481,71,33,13
1069,157,33,2
1912,276,33,15
