2107,50,1,10
32,3,211,1
50,5,77,1
53,5,263,1
125,15,259,1
171,22,159,1
199,26,273,1
267,36,31,1
287,40,44,1
308,43,22,1
386,56,266,1
445,66,119,1
452,67,254,1
474,70,259,1
498,74,110,1
533,78,111,1
611,88,44,1
674,97,107,1
749,108,211,1
766,111,164,1
774,113,197,1
776,113,253,1
858,127,220,1
888,131,211,1
908,133,192,1
960,142,143,1
981,145,161,1
988,146,202,1
1010,150,166,1
1011,150,298,1
1022,151,229,1
1053,155,202,1
1091,160,188,1
1115,165,149,1
1131,167,297,1
1151,169,213,1
1189,173,201,1
1211,177,282,1
1239,181,90,1
1274,186,232,1
1285,187,246,1
1290,187,9,1
1337,193,93,1
1412,203,279,1
1456,208,288,1
1525,218,235,1
1529,218,231,1
1537,219,295,1
1648,237,251,1
1668,240,298,1
1672,241,269,1
1676,242,250,1
1708,247,138,1
1724,249,273,1
1731,250,5,1
1741,252,258,1
1779,257,273,1
1851,267,288,1
1862,269,291,1
1866,270,194,1
1867,270,299,1
1870,270,286,1
1876,272,236,1
1902,275,289,1
1904,275,290,1
1906,275,286,1
1917,277,290,1
1942,281,57,1
1961,284,13,1
1982,287,211,1
2004,291,298,1
2021,293,286,1
2028,294,299,1
2058,298,200,1
2070,0,300,1
2074,1,301,1
2075,1,302,1
2076,1,303,1
2077,1,304,1
2078,1,305,1
2079,1,306,1
2080,1,307,1
2081,1,300,1
2082,2,301,1
2083,2,302,1
2084,2,303,1
2085,2,304,1
2086,2,300,1
2087,2,305,1
2088,2,306,1
2089,2,307,1
2090,300,301,1
2091,300,302,1
2092,300,303,1
2094,300,304,1
2099,300,305,1
2100,300,306,1
2101,300,307,1
2102,300,308,1
2103,300,309,1
2104,300,310,1
16,1,58,2
19,1,186,2
43,4,95,2
103,12,77,2
104,13,8,2
157,20,22,2
233,31,132,2
238,32,272,2
280,39,77,2
283,39,191,2
303,42,211,2
320,45,50,2
323,45,68,2
546,81,131,2
557,82,284,2
567,83,297,2
729,106,113,2
823,121,143,2
828,122,142,2
864,128,244,2
889,131,160,2
891,131,20,2
898,132,251,2
961,142,192,2
966,142,224,2
998,148,212,2
1021,151,218,2
1069,157,33,2
1077,158,143,2
1102,162,275,2
1230,180,31,2
1252,183,122,2
1273,186,296,2
1308,190,296,2
1326,192,230,2
1341,194,241,2
1356,196,231,2
1372,198,253,2
1430,205,298,2
1450,208,226,2
1551,222,174,2
1558,223,273,2
1568,225,291,2
1600,231,290,2
1604,231,286,2
1690,243,84,2
1713,247,217,2
1727,250,255,2
1728,250,252,2
1744,252,275,2
1951,283,277,2
1956,284,285,2
1989,289,297,2
2057,297,43,2
2060,298,237,2
63,7,27,3
89,11,118,3
147,18,100,3
198,26,39,3
237,32,30,3
242,33,29,3
276,38,113,3
304,42,108,3
318,44,130,3
373,54,100,3
393,57,294,3
446,66,243,3
514,76,280,3
540,80,176,3
552,82,292,3
664,96,48,3
667,96,231,3
672,97,235,3
675,98,103,3
792,116,224,3
801,117,258,3
807,118,190,3
812,119,178,3
820,121,98,3
866,128,136,3
884,130,140,3
934,138,275,3
986,146,265,3
1004,149,181,3
1116,165,197,3
1124,166,217,3
1139,167,107,3
1228,180,233,3
1268,185,24,3
1280,186,275,3
1323,192,217,3
1410,203,212,3
1494,213,218,3
1552,222,258,3
1578,227,256,3
1612,233,271,3
1621,234,295,3
1651,237,52,3
1671,241,293,3
1720,249,141,3
1742,252,290,3
1880,272,273,3
1899,274,273,3
1907,276,166,3
2036,295,237,3
33,3,282,4
70,8,97,4
111,13,271,4
172,22,39,4
174,23,188,4
221,29,33,4
311,43,101,4
324,45,140,4
361,51,127,4
362,52,30,4
365,52,286,4
431,63,53,4
473,70,56,4
476,71,73,4
516,76,268,4
526,77,291,4
555,82,43,4
568,83,60,4
575,84,202,4
605,87,245,4
653,94,75,4
657,94,161,4
658,94,226,4
677,98,236,4
714,104,106,4
727,106,184,4
735,107,197,4
754,109,269,4
761,110,298,4
829,122,139,4
841,124,126,4
997,148,182,4
1029,152,228,4
1032,152,246,4
1045,154,180,4
1050,155,219,4
1055,155,110,4
1123,166,215,4
1184,173,175,4
1192,174,239,4
1195,174,294,4
1238,181,220,4
1258,184,262,4
1315,191,192,4
1336,193,200,4
1339,194,210,4
1357,196,219,4
1358,196,255,4
1417,203,21,4
1427,204,158,4
1445,207,274,4
1461,209,256,4
1462,209,288,4
1463,209,227,4
1515,216,255,4
1518,217,233,4
1544,220,184,4
1616,233,280,4
1627,235,238,4
1686,243,197,4
1698,245,281,4
1736,251,266,4
1762,255,278,4
1780,257,0,4
1826,264,282,4
1832,264,100,4
1843,266,268,4
1910,276,290,4
1927,279,294,4
1968,285,290,4
1983,288,275,4
8,0,22,5
18,1,151,5
39,4,204,5
106,13,192,5
131,15,85,5
190,25,224,5
212,28,136,5
227,30,45,5
